 0 0 12 2 0 37
appstream-generator 0 2 5 3 0 0
appstream-glib 0 0 10 10 0 0
apr 0 3 8 3 8 2
apr-util 0 9 227 3 15 14
apron 4 47 87 1 0 2
aprsdigi 0 1 9 1 2 0
aprx 0 0 6 0 2 1
apscheduler 0 0 2 3 0 0
apsfilter 0 16 14 8 0 0
apt 2 12 9 1 0 7
apt-build 0 0 1 0 1 0
apt-cacher 0 0 4 3 0 0
apt-cacher-ng 0 0 19 9 0 0
apt-clone 1 5 1 0 0 0
apt-dater 0 0 1 0 1 1
apt-dater-host 0 0 1 0 0 1
apt-dpkg-ref 0 8 2 1 0 0
apt-file 0 0 0 1 0 0
apt-forktracer 0 2 1 2 0 0
apt-listbugs 0 0 0 1 0 0
apt-listchanges 0 0 1 0 0 0
apt-listdifferences 0 1 1 0 0 0
apt-mirror 0 1 1 1 0 0
apt-move 0 1 3 1 0 0
apt-offline 0 2 4 1 0 0
apt-p2p 0 4 6 1 0 0
apt-rdepends 0 0 1 1 0 0
apt-setup 0 0 1 1 0 0
apt-show-source 0 10 3 2 0 0
apt-show-versions 0 9 6 1 0 0
apt-spacewalk 0 5 3 4 0 0
apt-spy 0 9 15 6 1 0
apt-src 0 1 2 2 0 0
apt-transport-s3 1 1 1 0 0 0
apt-transport-tor 0 1 1 0 0 0
apt-venv 0 4 3 1 0 0
apt-xapian-index 0 4 7 4 0 0
aptfs 0 1 0 2 0 0
apticron 0 4 5 3 0 1
aptitude 0 3 4 12 28 0
aptitude-robot 0 0 1 1 0 3
aptly 1 9 23 5 0 0
aptoncd 2 10 5 2 0 0
aptsh 0 8 22 1 1 0
apvlv 0 1 1 1 1 0
apwal 0 6 22 3 1 0
aqemu 0 2 13 1 1 0
aqsis 0 2 23 2 11 20
ara 0 4 18 5 0 0
arachne-pnr 0 0 4 4 0 0
aragorn 0 0 0 3 1 0
arandr 0 0 2 1 0 0
aranym 0 7 46 1 3 0
arb 0 3 161 1 3 0
arbiterjs 0 3 5 1 0 0
arbtt 0 12 38 8 0 0
arc 0 1 1 1 2 0
arc-gui-clients 2 21 34 9 0 0
arc-theme 0 1 2 4 0 0
arcanist-clang-format-linter 0 1 3 1 0 0
arch-test 0 0 1 3 0 58
archipel-agent-action-scheduler 0 1 1 2 0 0
archipel-agent-hypervisor-geolocalization 0 1 1 2 0 0
archipel-agent-hypervisor-health 0 1 1 2 0 0
archipel-agent-hypervisor-network 0 1 1 2 0 0
archipel-agent-hypervisor-platformrequest 0 2 1 2 1 0
archipel-agent-iphone-notification 0 1 1 2 0 0
archipel-agent-virtualmachine-oomkiller 0 1 1 2 0 0
archipel-agent-virtualmachine-snapshoting 0 1 1 2 0 0
archipel-agent-virtualmachine-vnc 0 1 1 2 0 0
archipel-agent-vmcasting 0 1 1 2 0 0
archipel-agent-vmparking 0 1 1 2 0 0
archipel-agent-xmppserver 0 1 1 2 0 0
